date,price,symbol,volume
2020-01-03,2550.0000,EXPN,619876
2020-01-02,2550.0000,EXPN,1119108
2019-12-31,2552.0000,EXPN,384341
2019-12-30,2570.0000,EXPN,1219308
2019-12-27,2593.0000,EXPN,748138
2019-12-24,2605.0000,EXPN,317224
2019-12-23,2565.0000,EXPN,2106016
2019-12-20,2557.0000,EXPN,4055639
2019-12-19,2535.0000,EXPN,4269446
2019-12-18,2534.0000,EXPN,2323151
2019-12-17,2528.0000,EXPN,3632950
2019-12-16,2507.0000,EXPN,1518854
2019-12-13,2447.0000,EXPN,1913232
2019-12-12,2458.0000,EXPN,1268733
2019-12-11,2443.0000,EXPN,1378645
2019-12-10,2454.0000,EXPN,1585236
2019-12-09,2459.0000,EXPN,1371202
2019-12-06,2472.0000,EXPN,1225816
2019-12-05,2451.0000,EXPN,1288758
2019-12-04,2457.0000,EXPN,2009389
2019-12-03,2473.0000,EXPN,1999412
2019-12-02,2527.0000,EXPN,1513083
2019-11-29,2563.0000,EXPN,1139647
2019-11-28,2559.0000,EXPN,933659
2019-11-27,2561.0000,EXPN,1055735
2019-11-26,2554.0000,EXPN,3376146
2019-11-25,2564.0000,EXPN,2099008
2019-11-22,2511.0000,EXPN,2031546
2019-11-21,2445.0000,EXPN,1588210
2019-11-20,2474.0000,EXPN,5895335
2019-11-19,2480.0000,EXPN,1631062
2019-11-18,2427.0000,EXPN,2271397
2019-11-15,2438.0000,EXPN,1621210
2019-11-14,2464.0000,EXPN,2296299
2019-11-13,2477.0000,EXPN,3733152
2019-11-12,2442.0000,EXPN,6157223
2019-11-11,2382.0000,EXPN,5639780
2019-11-08,2388.0000,EXPN,1200758
2019-11-07,2370.0000,EXPN,1436219
2019-11-06,2383.0000,EXPN,1924200
2019-11-05,2368.0000,EXPN,2161266
2019-11-04,2419.0000,EXPN,971339
2019-11-01,2420.0000,EXPN,2181481
2019-10-31,2428.0000,EXPN,1420035
2019-10-30,2446.0000,EXPN,1425801
2019-10-29,2417.0000,EXPN,1493820
2019-10-28,2420.0000,EXPN,1130124
2019-10-25,2391.0000,EXPN,1168003
2019-10-24,2389.0000,EXPN,1427545
2019-10-23,2342.0000,EXPN,2573580
2019-10-22,2347.0000,EXPN,2031732
2019-10-21,2327.0000,EXPN,2179495
2019-10-18,2371.0000,EXPN,4729426
2019-10-17,2403.0000,EXPN,1629733
2019-10-16,2411.0000,EXPN,2158410
2019-10-15,2435.0000,EXPN,3037229
2019-10-14,2455.0000,EXPN,2538737
2019-10-11,2483.0000,EXPN,2483416
2019-10-10,2508.0000,EXPN,1705100
2019-10-09,2554.0000,EXPN,1551994
2019-10-08,2558.0000,EXPN,1928361
2019-10-07,2548.0000,EXPN,1169753
2019-10-04,2532.0000,EXPN,1880421
2019-10-03,2458.0000,EXPN,4373158
2019-10-02,2477.0000,EXPN,1631729
2019-10-01,2541.0000,EXPN,1734922
2019-09-30,2599.0000,EXPN,1294855
2019-09-27,2595.0000,EXPN,1368286
2019-09-26,2571.0000,EXPN,2158001
2019-09-25,2515.0000,EXPN,1384972
2019-09-24,2549.0000,EXPN,4837069
2019-09-23,2548.0000,EXPN,4131916
2019-09-20,2538.0000,EXPN,3737148
2019-09-19,2535.0000,EXPN,1764375
2019-09-18,2491.0000,EXPN,1680952
2019-09-17,2494.0000,EXPN,1538923
2019-09-16,2442.0000,EXPN,2126485
2019-09-13,2468.0000,EXPN,2568188
2019-09-12,2525.0000,EXPN,2648892
2019-09-11,2481.0000,EXPN,3327943
2019-09-10,2470.0000,EXPN,3210794
2019-09-09,2575.0000,EXPN,1496807
2019-09-06,2631.0000,EXPN,2132504
2019-09-05,2586.0000,EXPN,1675969
2019-09-04,2605.0000,EXPN,1571673
2019-09-03,2599.0000,EXPN,1176412
2019-09-02,2594.0000,EXPN,2171759
2019-08-30,2518.0000,EXPN,2222953
2019-08-29,2513.0000,EXPN,1912191
2019-08-28,2508.0000,EXPN,1716828
2019-08-27,2535.0000,EXPN,3273241
2019-08-23,2515.0000,EXPN,892704
2019-08-22,2525.0000,EXPN,1201437
2019-08-21,2565.0000,EXPN,902860
2019-08-20,2506.0000,EXPN,2398329
2019-08-19,2534.0000,EXPN,1253123
2019-08-16,2518.0000,EXPN,985800
2019-08-15,2500.0000,EXPN,1236011
2019-08-14,2500.0000,EXPN,1125782
2019-08-13,2533.0000,EXPN,1348115
2019-08-12,2556.0000,EXPN,1078628
2019-08-09,2544.0000,EXPN,1679126
2019-08-08,2558.0000,EXPN,3107064
2019-08-07,2497.0000,EXPN,1631462
2019-08-06,2447.0000,EXPN,2583579
2019-08-05,2451.0000,EXPN,3054053
2019-08-02,2479.0000,EXPN,1994603
2019-08-01,2544.0000,EXPN,2061192
2019-07-31,2500.0000,EXPN,2509861
2019-07-30,2511.0000,EXPN,1584035
2019-07-29,2520.0000,EXPN,1465193
2019-07-26,2482.0000,EXPN,1291962
2019-07-25,2439.0000,EXPN,1461866
2019-07-24,2452.0000,EXPN,1566380
2019-07-23,2430.0000,EXPN,2403892
2019-07-22,2432.0000,EXPN,1109398
2019-07-19,2408.0000,EXPN,1489539
2019-07-18,2380.0000,EXPN,1389585
2019-07-17,2414.0000,EXPN,2038535
2019-07-16,2390.0000,EXPN,2886533
2019-07-15,2418.0000,EXPN,1825532
2019-07-12,2375.0000,EXPN,971817
2019-07-11,2388.0000,EXPN,2755780
2019-07-10,2385.0000,EXPN,1784523
2019-07-09,2390.0000,EXPN,1622581
2019-07-08,2405.0000,EXPN,1789330
2019-07-05,2365.0000,EXPN,2257632
2019-07-04,2436.0000,EXPN,1167794
2019-07-03,2437.0000,EXPN,1165627
2019-07-02,2440.0000,EXPN,1582105
2019-07-01,2405.0000,EXPN,1385532
2019-06-28,2384.0000,EXPN,3056410
2019-06-27,2350.0000,EXPN,1453946
2019-06-26,2395.0000,EXPN,1851673
2019-06-25,2430.0000,EXPN,2616233
2019-06-24,2463.0000,EXPN,1983756
2019-06-21,2414.0000,EXPN,6961611
2019-06-20,2419.0000,EXPN,1906440
2019-06-19,2381.0000,EXPN,2060703
2019-06-18,2443.0000,EXPN,1861255
2019-06-17,2420.0000,EXPN,1495747
2019-06-14,2408.0000,EXPN,1861956
2019-06-13,2384.0000,EXPN,1466724
2019-06-12,2397.0000,EXPN,2244547
2019-06-11,2388.0000,EXPN,1802837
2019-06-10,2405.0000,EXPN,1112371
2019-06-07,2400.0000,EXPN,3279304
2019-06-06,2390.0000,EXPN,1649119
2019-06-05,2384.0000,EXPN,2829529
2019-06-04,2375.0000,EXPN,2068110
2019-06-03,2401.0000,EXPN,2297737
2019-05-31,2387.0000,EXPN,1754786
2019-05-30,2380.0000,EXPN,929477
2019-05-29,2346.0000,EXPN,1094114
2019-05-28,2367.0000,EXPN,2427414
2019-05-24,2332.0000,EXPN,1935147
